Lead Number,Lead Origin,Lead Source,Notes,Lead Stage,Engagement Score,TotalVisits,Page Views Per Visit,Average Time Per Visit,Last Activity,Last Activity Date,Lead Conversion Date,Cityold,Specialization,Entrance Test,What is your current occupation
660570,Landing Page Submission,Direct Traffic,,Closed,0,8,2.67,26.8,Page Visited on Website,5/8/16 17:30,31-07-2016 13:51,Mumbai,Human Resource Management,MAT,Unemployed
660562,API,Organic Search,,Qualified,120,11,11,130,Email Opened,3/8/16 11:18,31-07-2016 13:48,Mumbai,Marketing Management,MAT,Unemployed
660558,Landing Page Submission,Organic Search,,Unreachable,0,5,5,115.75,Email Opened,8/8/16 8:21,31-07-2016 13:53,Mumbai,Business Administration,MAT,Unemployed
660553,Landing Page Submission,Direct Traffic,http://buy-rimonabant.date/ - rimonabant http://stratteraonline.eu/ - strattera online http://buy-ventolin.webcam/ - link http://clomid.kim/ - clomid,Junk Lead,0,1,1,0,Email Bounced,6/8/16 15:40,31-07-2016 13:35,Tafraout,Business Administration,MAT,Unemployed
660547,API,Organic Search,,Qualified,90,6,6,266.4,Email Opened,8/8/16 9:39,31-07-2016 13:52,Mumbai,Select Specialization,MAT,Unemployed
660540,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,31-07-2016 1:27,,,,,
660534,API,Referral Sites,,Not Interested,0,6,6,64.8,Email Link Clicked,31-07-2016 13:47,31-07-2016 13:19,Thane,Select Specialization,MAT,Unemployed
660522,Landing Page Submission,Google,"I am working in a Market Research firm in Operation department, want to do MBA, can study on Sunday and Saturday",Qualified,60,6,3,318,Page Visited on Website,4/8/16 12:32,3/8/16 10:33,Mumbai,Marketing Management,MAT,Unemployed
660509,API,Organic Search,,Not Interested,0,3,3,370.67,Page Visited on Website,31-07-2016 13:13,31-07-2016 12:55,,Select Specialization,MAT,Unemployed
660479,Landing Page Submission,Google,I am interested for advertising and pr,Not Interested,0,1,1,0,Unreachable,2/8/16 10:27,31-07-2016 12:26,Mumbai,Media and Advertising,MAT,Unemployed
660478,API,Google,,Not Interested,0,4,1.33,67,Page Visited on Website,1/8/16 10:21,31-07-2016 15:16,,Select Specialization,MAT,Unemployed
660471,Landing Page Submission,Google,Enquiry,Qualified,0,1,1,0,Converted to Lead,31-07-2016 12:20,31-07-2016 12:20,Mumbai,"Banking, Investment And Insurance",MAT,Unemployed
660461,Landing Page Submission,Google,What is the fees for Pgdfm part 1,Unreachable,0,4,4,52.67,Email Link Clicked,4/8/16 11:12,31-07-2016 12:09,Mumbai,Finance Management,MAT,Unemployed
660458,API,Google,,Qualified,110,6,1.5,396,Email Opened,8/8/16 18:42,31-07-2016 12:09,Bengaluru,Marketing Management,MAT,Unemployed
660447,Landing Page Submission,Google,Want to know more about PGDM programs,Qualified,10,3,3,144.5,Form Submitted on Website,31-07-2016 12:05,31-07-2016 12:04,Mumbai,Travel and Tourism,MAT,Unemployed
660432,Landing Page Submission,Organic Search,,Qualified,70,4,2,100.5,Email Opened,8/8/16 7:37,31-07-2016 12:22,Mumbai,Finance Management,MAT,Unemployed
660424,Landing Page Submission,Google,I would like to join next year. Please give me a call to discuss the rest.,Qualified,60,6,6,173.2,Email Opened,5/8/16 11:39,31-07-2016 11:36,Mumbai,Media and Advertising,MAT,Unemployed
660423,Landing Page Submission,Direct Traffic,,Unreachable,0,5,5,266.6,Email Opened,8/8/16 13:49,31-07-2016 11:42,Mumbai,Select Specialization,MAT,Student
660410,API,Google,,Qualified,30,3,3,179.5,Unreachable,3/8/16 6:51,31-07-2016 11:17,Mumbai,International Business,MAT,Unemployed
660402,Landing Page Submission,Direct Traffic,,Qualified,120,7,3.5,147.33,Email Opened,8/8/16 7:03,31-07-2016 11:50,Mumbai,Human Resource Management,MAT,Unemployed
660374,API,Google,,Not Interested,0,3,1.5,261,Email Opened,2/8/16 4:54,31-07-2016 11:01,Mumbai,Select Specialization,MAT,Unemployed
660361,API,Referral Sites,,Not Interested,0,4,2,52,Page Visited on Website,1/8/16 12:54,31-07-2016 10:16,Bangalore,Select Specialization,MAT,Unemployed
660339,API,Organic Search,,Not Called,0,3,1.5,251,Email Opened,6/8/16 9:21,6/8/16 6:30,Bangalore,,,
660333,Landing Page Submission,Organic Search,,Qualified,30,4,2,35.5,Page Visited on Website,31-07-2016 11:19,31-07-2016 11:17,Mumbai,E-COMMERCE,MAT,Unemployed
660321,API,Referral Sites,,Qualified,40,3,3,326.67,Email Opened,1/8/16 7:59,31-07-2016 9:51,Thane,Human Resource Management,MAT,Unemployed
660312,Landing Page Submission,Google,,Unreachable,0,4,4,301.5,Unreachable,2/8/16 10:25,31-07-2016 9:30,Mumbai,Operations Management,MAT,Unemployed
660267,Landing Page Submission,Google,,Qualified,50,5,5,168.25,Email Opened,1/8/16 12:19,31-07-2016 8:39,Pune,Finance Management,MAT,Working Professional
660255,API,Google,,Unreachable,0,2,2,310.5,Email Link Clicked,2/8/16 13:11,31-07-2016 8:22,Mumbai,Select Specialization,MAT,Unemployed
660236,Landing Page Submission,Google,i want to take addmission operation please suggest,Qualified,20,4,4,54.67,Email Opened,3/8/16 9:22,31-07-2016 7:56,,Operations Management,MAT,Unemployed
660235,API,Direct Traffic,,Unreachable,0,3,3,191,Email Opened,8/8/16 7:40,31-07-2016 7:56,Thane,Select Specialization,MAT,Unemployed
660222,Landing Page Submission,Organic Search,INFO Regarding MBA Program Relating Operation@retail,Unreachable,0,7,7,66.83,Unsubscribed,5/8/16 7:38,31-07-2016 7:36,Mumbai,Retail Management,MAT,Unemployed
660215,API,Google,,Unreachable,0,5,5,153.6,Email Opened,5/8/16 14:42,31-07-2016 7:39,Mumbai,Select Specialization,MAT,Unemployed
660203,Landing Page Submission,Google,"hiii sir I am graduate with BMS field i want to master degree with our institutions ,but I don't have any work experience .",Unreachable,0,5,5,125.2,Email Opened,8/8/16 3:32,31-07-2016 7:23,Mumbai,Finance Management,,
660194,Landing Page Submission,Direct Traffic,,Lost,0,6,3,253.5,Email Opened,5/8/16 13:50,31-07-2016 6:57,Mumbai,Operations Management,MAT,Unemployed
660180,Landing Page Submission,Google,"Dear sir/madam,I am a BMM graduate from Ruia college, I graduated in April '15. I have 1+ year of work experience.I am interested in doing a pert time MBA in marketing. I want to know more about the Course Fees,entrance exam(if any for Part-time courses), eligibility criteria and fees of the course.Also if there is any fee concession or scholarship for reserved category students.",Unreachable,0,4,2,223.33,Email Opened,8/8/16 11:40,31-07-2016 7:14,Mumbai,Marketing Management,MAT,Unemployed
660174,Landing Page Submission,Direct Traffic,,Junk Lead,0,2,2,2,Email Opened,8/8/16 17:59,31-07-2016 6:42,Thane,Finance Management,MAT,Unemployed
660153,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,31-07-2016 6:23,,,,,
660149,API,Google,,Not Eligible,0,6,6,78.4,Page Visited on Website,31-07-2016 6:24,31-07-2016 6:18,Pune,Supply Chain Management,MAT,Unemployed
660128,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,31-07-2016 6:04,,,,,
660087,API,Olark Chat,,Qualified,10,0,0,0,Email Opened,2/8/16 12:04,,,Select Specialization,MAT,Unemployed
660070,Landing Page Submission,Google,,Junk Lead,0,5,5,116.25,Email Opened,6/8/16 7:22,31-07-2016 4:30,Mumbai,Business Administration,MAT,Unemployed
660069,Landing Page Submission,Organic Search,,Unreachable,0,6,2,64,Unreachable,2/8/16 9:54,31-07-2016 5:19,Mumbai,E-COMMERCE,MAT,Unemployed
660050,API,Google,,Junk Lead,0,6,1.5,456,Olark Chat Conversation,3/8/16 7:39,3/8/16 7:34,Mumbai,,,
660048,API,Organic Search,,Unreachable,0,7,2.33,296.25,Email Opened,8/8/16 17:29,4/8/16 3:56,Mumbai,,,
660030,API,Organic Search,,Unreachable,0,2,2,187.5,Email Opened,7/8/16 10:25,31-07-2016 2:44,Bangalore,Select Specialization,MAT,Unemployed
659998,Landing Page Submission,Referral Sites,,Qualified,110,13,13,103.75,Form Submitted on Website,30-07-2016 21:47,30-07-2016 21:34,New Delhi,IT Projects Management,MAT,Unemployed
659963,API,Referral Sites,,Qualified,80,8,8,114.71,Page Visited on Website,3/8/16 6:28,30-07-2016 19:08,,Finance Management,MAT,Unemployed
659942,Landing Page Submission,Organic Search,,Not Interested,0,17,8.5,219.13,Email Opened,2/8/16 4:21,31-07-2016 5:29,Mumbai,Human Resource Management,MAT,Unemployed
659937,Landing Page Submission,Referral Sites,,Not Eligible,0,11,5.5,52.33,Email Opened,5/8/16 21:10,31-07-2016 6:27,Mumbai,Services Excellence,MAT,Unemployed
659931,API,Google,"Hi, Dropped a message with contact us team of yours. Kindly get back to me.",Not Interested,0,4,4,164.33,Form Submitted on Website,30-07-2016 18:19,30-07-2016 18:17,Mumbai,International Business,MAT,Unemployed
659925,API,Olark Chat,,Unreachable,0,0,0,0,Email Opened,8/8/16 8:28,,,Select Specialization,MAT,Unemployed
659918,API,Organic Search,,Qualified,70,7,3.5,245.8,Page Visited on Website,30-07-2016 18:34,30-07-2016 18:09,Mumbai,Marketing Management,MAT,Unemployed
659896,API,Olark Chat,,Junk Lead,0,0,0,0,Email Link Clicked,30-07-2016 17:18,,,,,
659889,Landing Page Submission,Direct Traffic,,Qualified,40,4,4,199.33,Email Opened,4/8/16 17:02,30-07-2016 16:55,Indore,Operations Management,MAT,Working Professional
659875,Landing Page Submission,Google,"i have done my degree in Hospitality & Hotel Administration from Bharati Vidyapeeth Deemed University Institute of Hotel Management & Catering Technology, Pune in 2015Will i be able to get the admission for this year?",Qualified,0,1,1,0,Converted to Lead,30-07-2016 16:41,30-07-2016 16:41,,Hospitality Management,MAT,Unemployed
659853,API,Google,,Qualified,30,3,1.5,167,Had a Phone Conversation,8/8/16 7:38,30-07-2016 16:13,Mulund,Operations Management,MAT,Unemployed
659849,API,Olark Chat,,Qualified,20,0,0,0,Email Opened,2/8/16 6:49,,,Select Specialization,MAT,Unemployed
659833,API,Olark Chat,,Not Interested,0,0,0,0,View in browser link Clicked,31-07-2016 15:42,,,Finance Management,MAT,Unemployed
659830,API,Olark Chat,,Unreachable,0,0,0,0,Olark Chat Conversation,30-07-2016 3:39,,,Select Specialization,MAT,Unemployed
659819,Landing Page Submission,Direct Traffic,,Junk Lead,0,1,1,0,Converted to Lead,30-07-2016 15:26,30-07-2016 15:26,Mumbai,Retail Management,MAT,Unemployed
659820,Landing Page Submission,Direct Traffic,Do u have a Business Management course in distant learning and what's the duration of the same?,Unreachable,0,4,4,186.33,Email Opened,5/8/16 19:00,30-07-2016 15:35,Mumbai,Business Administration,MAT,Unemployed
659806,Landing Page Submission,Referral Sites,,Unreachable,0,3,3,70,Email Bounced,1/8/16 12:20,30-07-2016 15:15,New Delhi,International Business,MAT,Unemployed
659784,API,Organic Search,,Unreachable,0,6,6,259.8,Page Visited on Website,30-07-2016 15:20,30-07-2016 15:04,,Select Specialization,MAT,Unemployed
659782,Landing Page Submission,Direct Traffic,,Unreachable,0,5,1.67,288,Page Visited on Website,8/8/16 16:39,30-07-2016 14:54,Pune,Operations Management,,
659779,Landing Page Submission,Direct Traffic,,Closed,0,2,2,8,Email Opened,8/8/16 4:16,30-07-2016 14:52,,Marketing Management,MAT,Unemployed
659727,Landing Page Submission,Google,what course should I pursue as I have completed graduation(B.A.),Qualified,100,6,3,227.75,Email Opened,8/8/16 7:25,30-07-2016 14:09,Mumbai,"Banking, Investment And Insurance",MAT,Working Professional
659722,Lead Add Form,Welingak Website,,Qualified,0,,,,,,,,Select Specialization,MAT,Unemployed
659720,API,Referral Sites,"Hi I Would like to enquire/enroll for Operation Management,So could someone guide me on this.ThanksMangesh",Lost,0,4,4,158.67,Email Opened,1/8/16 14:34,30-07-2016 13:57,Worli,Operations Management,MAT,Unemployed
659710,Lead Add Form,Reference,,Qualified,0,,,,,,,,Hospitality Management,MAT,Working Professional
659708,API,Google,,Unreachable,0,2,2,140,Email Opened,4/8/16 6:18,30-07-2016 13:34,Thane,Select Specialization,MAT,Unemployed
659705,Lead Add Form,Welingak Website,,Qualified,0,,,,,,,,Select Specialization,MAT,Unemployed
659704,API,Olark Chat,,Qualified,70,0,0,0,Email Link Clicked,8/8/16 7:59,,,Operations Management,MAT,Working Professional
659700,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,30-07-2016 1:23,,,,,
659696,Landing Page Submission,Google,,Qualified,20,3,3,62.5,Page Visited on Website,30-07-2016 13:18,30-07-2016 13:17,Mumbai,IT Projects Management,MAT,Unemployed
659685,API,Referral Sites,,Unreachable,0,3,3,185,Email Opened,1/8/16 10:21,30-07-2016 13:08,Mumbai,Select Specialization,MAT,Unemployed
659676,API,Referral Sites,,Unreachable,0,4,4,104.33,Email Opened,9/8/16 3:07,30-07-2016 13:03,Mumbai,Select Specialization,MAT,Unemployed
659644,Landing Page Submission,Direct Traffic,,Unreachable,0,6,3,89.5,Email Opened,8/8/16 15:09,6/8/16 11:04,Kuwait City,Supply Chain Management,,
659631,Lead Add Form,Reference,,Closed,0,,,,,,,,Human Resource Management,MAT,Unemployed
659630,Landing Page Submission,Organic Search,,Not Interested,0,2,2,219,Converted to Lead,30-07-2016 12:18,30-07-2016 12:18,Pune,Rural and Agribusiness,MAT,Unemployed
659614,API,Organic Search,,Not Interested,0,3,3,168,Page Visited on Website,30-07-2016 19:45,30-07-2016 11:59,Mumbai,Select Specialization,MAT,Unemployed
659607,API,Olark Chat,,Qualified,130,6,1.5,144,Email Opened,7/8/16 11:52,,,Business Administration,MAT,Unemployed
659600,Landing Page Submission,Google,hi wants to join your institute for my further studies,Unreachable,0,4,4,61,Email Opened,6/8/16 4:59,30-07-2016 11:40,Mumbai,Finance Management,,
659582,Landing Page Submission,Google,I would like to know about  masters in hospital administration. I m a physiotherapist.,Unreachable,0,9,4.5,148.71,Email Opened,2/8/16 6:47,30-07-2016 11:37,Thane,Healthcare Management,,
659567,Landing Page Submission,Direct Traffic,,Unreachable,0,3,3,300.5,Unreachable,2/8/16 6:26,30-07-2016 11:19,,Finance Management,MAT,Unemployed
659562,Landing Page Submission,Direct Traffic,,Unreachable,0,4,2,385.33,Unreachable,6/8/16 6:16,5/8/16 4:15,ballarshah,Marketing Management,MAT,Unemployed
659555,Landing Page Submission,Google,,Not Eligible,0,2,2,3,Form Submitted on Website,30-07-2016 11:02,30-07-2016 11:01,Thane,Healthcare Management,MAT,Unemployed
659545,API,Olark Chat,,Unreachable,0,0,0,0,Olark Chat Conversation,30-07-2016 10:59,,,Select Specialization,MAT,Unemployed
659523,API,Google,,Qualified,40,5,5,144.75,Olark Chat Conversation,30-07-2016 10:51,30-07-2016 10:45,,Human Resource Management,MAT,Working Professional
659507,Landing Page Submission,Direct Traffic,,Qualified,50,5,5,198.25,Email Opened,2/8/16 16:34,30-07-2016 10:38,Mumbai,Finance Management,MAT,Unemployed
659492,API,Referral Sites,,Unreachable,0,7,3.5,174.2,Converted to Lead,4/8/16 15:34,4/8/16 15:34,Mumbai,Select Specialization,MAT,Unemployed
659480,API,Olark Chat,,Qualified,20,0,0,0,Email Opened,30-07-2016 11:26,,,Select Specialization,MAT,Unemployed
659474,Landing Page Submission,Google,,Unreachable,0,12,4,337.33,Unreachable,5/8/16 12:39,30-07-2016 10:04,Mumbai,Finance Management,,
659469,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,7,Page Visited on Website,30-07-2016 9:52,30-07-2016 9:51,Muscat,Healthcare Management,MAT,Unemployed
659463,API,Google,,Qualified,50,5,5,316.25,Page Visited on Website,30-07-2016 12:48,30-07-2016 10:06,Mumbai,Select Specialization,MAT,Unemployed
659447,Landing Page Submission,Organic Search,,Unreachable,0,6,6,39.4,Email Opened,7/8/16 13:14,30-07-2016 9:34,Kottayam,Supply Chain Management,MAT,Unemployed
659438,API,Google,,Not Interested,0,9,3,116.83,Page Visited on Website,4/8/16 6:22,30-07-2016 9:32,Mumbai,,,
659437,API,Google,,Qualified,20,3,3,822,Olark Chat Conversation,30-07-2016 9:57,30-07-2016 9:53,Mumbai,Select Specialization,MAT,Unemployed
659411,Landing Page Submission,Google,please contact me,Unreachable,0,6,3,87.5,Olark Chat Conversation,31-07-2016 6:53,30-07-2016 9:07,Mumbai,E-COMMERCE,,
659407,API,Organic Search,,Not Interested,0,3,3,253,Converted to Lead,30-07-2016 9:12,30-07-2016 9:12,Mumbai,,,
659395,Landing Page Submission,Organic Search,,Qualified,110,6,6,210.6,Email Opened,8/8/16 2:10,30-07-2016 9:01,Mumbai,Operations Management,MAT,Unemployed
659371,Landing Page Submission,Google,,Qualified,110,4,4,49.67,Email Opened,8/8/16 7:47,30-07-2016 8:30,Mumbai,Human Resource Management,MAT,Unemployed
659369,Lead Add Form,Reference,had conversation with her father in law,Closed,0,0,0,0,Email Link Clicked,6/8/16 13:50,,,Business Administration,MAT,Working Professional
659366,API,Direct Traffic,,Not Eligible,0,5,5,120.25,Converted to Lead,30-07-2016 8:39,30-07-2016 8:39,Pune,Select Specialization,MAT,Unemployed
659364,API,Google,,Qualified,60,5,5,372.25,Email Opened,8/8/16 10:01,30-07-2016 8:47,,Select Specialization,MAT,Unemployed
659357,Landing Page Submission,Google,,Unreachable,0,8,4,65.67,Unreachable,5/8/16 12:11,30-07-2016 8:24,Vadodara,Hospitality Management,MAT,Unemployed
659345,API,Organic Search,,Unreachable,0,4,1.33,494,Email Opened,6/8/16 11:31,30-07-2016 9:12,Gorakhpur,,,
659334,API,Google,,Junk Lead,0,2,2,605,Email Opened,30-07-2016 10:41,30-07-2016 8:08,Mumbai,Select Specialization,MAT,Unemployed
659293,API,Referral Sites,,Not Interested,0,10,3.33,137.63,Page Visited on Website,5/8/16 14:31,30-07-2016 8:48,Mumbai,Select Specialization,MAT,Unemployed
659287,API,Organic Search,,Unreachable,0,3,3,120.5,Converted to Lead,30-07-2016 7:34,30-07-2016 7:34,Chandigarh,Select Specialization,MAT,Unemployed
659283,Lead Add Form,Reference,,Closed,0,,,,,,,,Marketing Management,MAT,Working Professional
659281,Landing Page Submission,Google,,Unreachable,0,8,4,198.67,Email Opened,5/8/16 15:28,30-07-2016 7:39,Mumbai,Finance Management,,
659263,API,Organic Search,,Qualified,20,3,1.5,168,Olark Chat Conversation,30-07-2016 8:07,30-07-2016 8:02,Mumbai,Select Specialization,MAT,Unemployed
659248,API,Google,,Junk Lead,0,2,1,0,Converted to Lead,30-07-2016 8:20,30-07-2016 8:20,Mumbai,,,
659244,Landing Page Submission,Google,,Unreachable,0,4,4,192.33,Email Opened,4/8/16 10:50,30-07-2016 7:06,Mumbai,Finance Management,MAT,Unemployed
659241,API,Referral Sites,,Unreachable,0,16,16,220.87,Olark Chat Conversation,30-07-2016 8:09,30-07-2016 7:06,,,,
659238,Landing Page Submission,Direct Traffic,,Junk Lead,0,1,1,0,Converted to Lead,30-07-2016 6:51,30-07-2016 6:51,Mumbai,Finance Management,MAT,Unemployed
659221,Landing Page Submission,Organic Search,,Unreachable,0,5,5,54,Page Visited on Website,1/8/16 17:05,30-07-2016 6:37,,Supply Chain Management,MAT,Unemployed
659217,Landing Page Submission,Google,,Unreachable,0,4,4,65.33,Unsubscribed,5/8/16 14:24,30-07-2016 6:36,Mumbai,International Business,,
659203,API,Google,,Qualified,10,2,1,0,Olark Chat Conversation,30-07-2016 7:29,30-07-2016 6:56,Gurgaon,Select Specialization,MAT,Unemployed
659191,Lead Add Form,Reference,,Closed,0,0,0,0,Email Opened,30-07-2016 7:17,,,Marketing Management,MAT,Businessman
659182,API,Google,,Not Interested,0,1,1,0,Converted to Lead,30-07-2016 6:13,30-07-2016 6:13,Kalyan,Select Specialization,MAT,Unemployed
659170,API,Google,,Not Interested,0,2,2,648.5,Olark Chat Conversation,30-07-2016 6:25,30-07-2016 6:12,Mumbai,Select Specialization,MAT,Unemployed
659158,Lead Add Form,Reference,,Closed,0,,,,,,,,Marketing Management,MAT,Working Professional
659153,Lead Add Form,Welingak Website,,Qualified,0,,,,,,,,Select Specialization,MAT,Unemployed
659146,Landing Page Submission,Google,,Qualified,40,5,5,55.4,Unreachable,8/8/16 7:44,30-07-2016 5:43,Mumbai,Finance Management,MAT,Unemployed
659142,Landing Page Submission,Direct Traffic,,Unreachable,0,4,4,47.33,Olark Chat Conversation,30-07-2016 5:43,30-07-2016 5:37,Mumbai,Supply Chain Management,,
659141,Lead Add Form,Reference,,Closed,0,0,0,0,Email Opened,30-07-2016 10:00,,,Hospitality Management,MAT,Unemployed
659138,API,Google,,Junk Lead,0,1,1,262,Olark Chat Conversation,30-07-2016 5:45,30-07-2016 5:40,Mumbai,Select Specialization,MAT,Unemployed
659132,Landing Page Submission,Referral Sites,,Unreachable,0,7,3.5,44.2,Email Opened,4/8/16 6:36,30-07-2016 5:32,Thane,Services Excellence,,
659123,Landing Page Submission,Google,,Not Interested,0,5,5,89.75,Email Opened,1/8/16 10:34,30-07-2016 5:22,Mumbai,Business Administration,MAT,Unemployed
659117,API,Referral Sites,,Unreachable,0,6,2,586,Page Visited on Website,4/8/16 16:12,30-07-2016 5:52,Mumbai,,,
659106,Landing Page Submission,Google,i am doing merchant navy so i want to apply for distance education,Qualified,70,5,5,240.6,Email Opened,4/8/16 5:22,30-07-2016 5:12,Mumbai,Operations Management,MAT,Unemployed
659094,Landing Page Submission,google,Geography,Unreachable,0,7,3.5,2,Page Visited on Website,30-07-2016 5:29,30-07-2016 4:50,Bengaluru,Select,,
659079,API,Google,,Unreachable,0,2,2,308.5,Unreachable,3/8/16 11:04,30-07-2016 4:34,Mumbai,Select Specialization,MAT,Unemployed
659076,API,Google,,Unreachable,0,2,2,281,Converted to Lead,30-07-2016 4:30,30-07-2016 4:30,,Select Specialization,MAT,Unemployed
659074,Landing Page Submission,Direct Traffic,,Unreachable,0,3,3,59,Unreachable,5/8/16 12:41,30-07-2016 4:22,Mumbai,Hospitality Management,,
659069,Landing Page Submission,Google,addmission for MBA,Unreachable,0,5,1.67,9.5,Olark Chat Conversation,31-07-2016 7:15,30-07-2016 4:13,raipur,Marketing Management,,
659057,Landing Page Submission,Google,part time,Not Interested,0,5,2.5,88,Email Opened,7/8/16 13:16,4/8/16 4:05,Valsad,Human Resource Management,MAT,Unemployed
659050,Landing Page Submission,Direct Traffic,,Not Interested,0,2,2,2,Email Opened,1/8/16 13:43,30-07-2016 3:32,Patna,Hospitality Management,MAT,Unemployed
659038,Landing Page Submission,Organic Search,,Qualified,40,5,5,27.5,Unreachable,8/8/16 7:45,30-07-2016 3:01,Mira Road,Finance Management,MAT,Unemployed
659036,Landing Page Submission,Direct Traffic,,Closed,0,1,1,0,Converted to Lead,30-07-2016 2:57,30-07-2016 2:57,Mumbai,IT Projects Management,,
659016,Landing Page Submission,Direct Traffic,,Junk Lead,0,2,1,0,Email Bounced,2/8/16 15:13,2/8/16 15:11,Mumbai,Finance Management,MAT,Unemployed
659013,Landing Page Submission,Direct Traffic,,Unreachable,0,3,3,80.5,Unreachable,1/8/16 10:05,30-07-2016 1:03,Mumbai,Finance Management,MAT,Unemployed
658983,Landing Page Submission,Organic Search,,Qualified,150,8,4,51,Email Opened,8/8/16 7:31,29-07-2016 19:45,Mumbai,Operations Management,MAT,Unemployed
658976,Landing Page Submission,Google,,Unreachable,0,2,2,2,Email Bounced,29-07-2016 19:26,29-07-2016 19:25,Mumbai,Select,MAT,Unemployed
658932,API,Referral Sites,,Not Interested,0,4,2,95,Email Link Clicked,1/8/16 7:28,31-07-2016 18:09,Thane,Select Specialization,MAT,Unemployed
658917,Landing Page Submission,Direct Traffic,I would like to know any course related to international marketing is there any course such because one of my friends just enrolled for it in your institution.,Unreachable,0,4,2,127.5,Email Opened,7/8/16 16:55,31-07-2016 16:16,Mumbai,Select Specialization,MAT,Unemployed
658888,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,3,Email Opened,8/8/16 16:58,29-07-2016 17:08,Vijayawada,E-COMMERCE,,
658856,API,Organic Search,,Unreachable,0,7,2.33,150,Email Opened,8/8/16 11:26,1/8/16 8:48,Ulhasnagar,Select Specialization,MAT,Unemployed
658852,Landing Page Submission,Direct Traffic,,Qualified,140,3,3,138.5,Email Opened,8/8/16 6:47,29-07-2016 16:06,Hyderabad,Supply Chain Management,MAT,Unemployed
658831,API,Olark Chat,,Qualified,80,10,3.33,82.29,Had a Phone Conversation,8/8/16 9:52,,Pune,Operations Management,MAT,Unemployed
658828,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,33,Email Link Clicked,6/8/16 15:53,29-07-2016 15:39,Junagadh,Business Administration,MAT,Unemployed
658826,Landing Page Submission,Direct Traffic,,Qualified,40,3,1.5,9,Email Opened,31-07-2016 10:15,29-07-2016 16:29,Indore,Operations Management,MAT,Unemployed
658793,Landing Page Submission,Google,,Qualified,80,6,6,150.2,Email Opened,3/8/16 18:36,29-07-2016 15:10,Mumbai,Finance Management,MAT,Unemployed
658779,API,Organic Search,when is the course starting?what will be the fee structure of the course?what is the eligibility criteria?what is the last date for getting admission in this course?,Not Interested,0,10,5,108.38,Email Link Clicked,30-07-2016 5:23,29-07-2016 14:49,Mumbai,Media and Advertising,MAT,Unemployed
658773,API,Organic Search,,Unreachable,0,1,1,0,Converted to Lead,29-07-2016 14:49,29-07-2016 14:49,Kolkata,Select Specialization,MAT,Unemployed
658766,API,Google,,Unreachable,0,2,2,95,Email Opened,4/8/16 5:59,29-07-2016 14:36,Mysore,Select Specialization,MAT,Unemployed
658756,Landing Page Submission,Referral Sites,,Unreachable,0,12,12,178.27,Email Link Clicked,30-07-2016 13:06,29-07-2016 14:25,Badlapur,Marketing Management,,
658744,Landing Page Submission,Direct Traffic,,Unreachable,0,3,1.5,18,Page Visited on Website,9/8/16 4:54,29-07-2016 14:07,Mumbai,Operations Management,MAT,Unemployed
